price(R$),condo(R$),district,address,area(m²),bedroom,bathrooms,parkings,url(image),url(apt)
660000.0,400.0,Serra,Rua Pirapetinga,68.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/30/98/30/360x266/3713515216.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-serra-3-quartos-68-m-sup2--2977309830.html
438090.0,,Cidade Jardim,Avenida Prudente de Morais,22.0,1.0,,0,https://imgbr.imovelwebcdn.com/avisos/2/29/54/72/33/43/360x266/3714050361.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-1-quarto-1-suite-cidade-jardim-2954723343.html
165000.0,220.0,Juliana,Rua Acácio Costa Júnior,48.0,2.0,1.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/26/80/360x266/3605475628.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-juliana-2-quartos-48-m-sup2--2973412680.html
360000.0,214.0,São João Batista,Rua Santa Maria Bertilla,90.0,2.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/38/22/360x266/3605593557.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sao-joao-batista-2-quartos-90-2973413822.html
540000.0,360.0,Calafate,Rua Aristóteles Caldeira,112.0,3.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/77/30/89/67/360x266/3713533623.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-calafate-3-quartos-112-m-sup2-2977308967.html
300000.0,410.0,Silveira,Rua Agostinho Azzi,69.0,4.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/44/07/360x266/3605591862.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-silveira-4-quartos-69-m-sup2-2973414407.html
2760000.0,,Liberdade,Rua Doutor Teles,284.0,4.0,4.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/49/59/360x266/3605507687.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-liberdade-4-quartos-284-2973414959.html
440000.0,368.0,Buritis,Rua Clementino Viana Dotti 121,100.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/74/82/03/57/360x266/3645727911.jpg,https://www.imovelweb.com.br/propriedades/venda-apartamento-3-quartos-no-buritis!-2974820357.html
450000.0,230.0,Sagrada Família,Rua João Carlos,99.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/16/57/360x266/3605461877.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sagrada-familia-2-quartos-99-2973411657.html
350000.0,530.0,Manacás,Rua Raimunda Simões da Silva,81.0,2.0,1.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/71/46/56/03/360x266/3547154763.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-manacas-belo-horizonte-2971465603.html
949900.0,312.0,Grajaú,Rua Verdum,188.0,4.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/63/32/43/05/360x266/3473470192.jpg,https://www.imovelweb.com.br/propriedades/charmosa-cobertura-com-acabamento-de-requinte!-2963324305.html
1260000.0,430.0,Silveira,Rua Tancredo da Silva Pinto,207.0,4.0,5.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/65/26/38/83/360x266/2649913043.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-silveira-belo-horizonte-2965263883.html
350000.0,300.0,Floramar,Rua Alga Vermelha,70.0,3.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/98/43/360x266/3605454851.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-floramar-3-quartos-70-m-sup2-2973409843.html
265000.0,900.0,Indaiá,Rua Intendente Câmara,26.0,1.0,1.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/85/56/360x266/3605438918.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-indaia-1-quarto-26-m-sup2--2973408556.html
